"","year","Scenario","sectors","value"
"430",2028,"ClimatePol","Other service activities",-0.121191
"431",2029,"ClimatePol","Other service activities",-0.137028
"432",2030,"ClimatePol","Other service activities",-0.149586
"433",2031,"ClimatePol","Other service activities",-0.158744
"434",2032,"ClimatePol","Other service activities",-0.164574
"435",2033,"ClimatePol","Other service activities",-0.167273
"436",2034,"ClimatePol","Other service activities",-0.167097
"437",2035,"ClimatePol","Other service activities",-0.164312
"438",2036,"ClimatePol","Other service activities",-0.159151
"439",2037,"ClimatePol","Other service activities",-0.151792
"440",2038,"ClimatePol","Other service activities",-0.142349
"441",2039,"ClimatePol","Other service activities",-0.130868
"442",2040,"ClimatePol","Other service activities",-0.117341
"443",2015,"Covid","Agriculture, forestry and fishing",0
"444",2016,"Covid","Agriculture, forestry and fishing",0
"445",2017,"Covid","Agriculture, forestry and fishing",0
"446",2018,"Covid","Agriculture, forestry and fishing",0
"447",2019,"Covid","Agriculture, forestry and fishing",0
"448",2020,"Covid","Agriculture, forestry and fishing",-0.94204
"449",2021,"Covid","Agriculture, forestry and fishing",-1.309549
"450",2022,"Covid","Agriculture, forestry and fishing",-1.244946
"451",2023,"Covid","Agriculture, forestry and fishing",-0.984331
"452",2024,"Covid","Agriculture, forestry and fishing",-0.653873
"453",2025,"Covid","Agriculture, forestry and fishing",-0.32852
"454",2026,"Covid","Agriculture, forestry and fishing",-0.0491
"455",2027,"Covid","Agriculture, forestry and fishing",0.167196
"456",2028,"Covid","Agriculture, forestry and fishing",0.318319
"457",2029,"Covid","Agriculture, forestry and fishing",0.410877
"458",2030,"Covid","Agriculture, forestry and fishing",0.455566
"459",2031,"Covid","Agriculture, forestry and fishing",0.464175
"460",2032,"Covid","Agriculture, forestry and fishing",0.447784
"461",2033,"Covid","Agriculture, forestry and fishing",0.415815
"462",2034,"Covid","Agriculture, forestry and fishing",0.375666
"463",2035,"Covid","Agriculture, forestry and fishing",0.332725
"464",2036,"Covid","Agriculture, forestry and fishing",0.290606
"465",2037,"Covid","Agriculture, forestry and fishing",0.251482
"466",2038,"Covid","Agriculture, forestry and fishing",0.216438
"467",2039,"Covid","Agriculture, forestry and fishing",0.1858
"468",2040,"Covid","Agriculture, forestry and fishing",0.159413
"469",2015,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0
"470",2016,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0
"471",2017,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0
"472",2018,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0
"473",2019,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0
"474",2020,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-2.05746
"475",2021,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-2.330188
"476",2022,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-2.092414
"477",2023,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-1.699398
"478",2024,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-1.272154
"479",2025,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-0.870226
"480",2026,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-0.524854
"481",2027,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-0.248726
"482",2028,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",-0.042323
"483",2029,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.101045
"484",2030,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.191548
"485",2031,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.240386
"486",2032,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.258294
"487",2033,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.254722
"488",2034,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.237471
"489",2035,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.212627
"490",2036,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.184675
"491",2037,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.156714
"492",2038,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.130719
"493",2039,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.107793
"494",2040,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.088415
"495",2015,"Covid","Manufacture of food, beverages 
 and tobacco products",0
"496",2016,"Covid","Manufacture of food, beverages 
 and tobacco products",0
"497",2017,"Covid","Manufacture of food, beverages 
 and tobacco products",0
"498",2018,"Covid","Manufacture of food, beverages 
 and tobacco products",0
"499",2019,"Covid","Manufacture of food, beverages 
 and tobacco products",0
"500",2020,"Covid","Manufacture of food, beverages 
 and tobacco products",-1.021981
"501",2021,"Covid","Manufacture of food, beverages 
 and tobacco products",-1.35722
"502",2022,"Covid","Manufacture of food, beverages 
 and tobacco products",-1.289506
"503",2023,"Covid","Manufacture of food, beverages 
 and tobacco products",-1.044052
"504",2024,"Covid","Manufacture of food, beverages 
 and tobacco products",-0.729178
"505",2025,"Covid","Manufacture of food, beverages 
 and tobacco products",-0.413508
"506",2026,"Covid","Manufacture of food, beverages 
 and tobacco products",-0.137235
"507",2027,"Covid","Manufacture of food, beverages 
 and tobacco products",0.080969
"508",2028,"Covid","Manufacture of food, beverages 
 and tobacco products",0.237173
"509",2029,"Covid","Manufacture of food, beverages 
 and tobacco products",0.336412
"510",2030,"Covid","Manufacture of food, beverages 
 and tobacco products",0.388319
"511",2031,"Covid","Manufacture of food, beverages 
 and tobacco products",0.404078
"512",2032,"Covid","Manufacture of food, beverages 
 and tobacco products",0.394486
"513",2033,"Covid","Manufacture of food, beverages 
 and tobacco products",0.368867
"514",2034,"Covid","Manufacture of food, beverages 
 and tobacco products",0.334618
"515",2035,"Covid","Manufacture of food, beverages 
 and tobacco products",0.297158
"516",2036,"Covid","Manufacture of food, beverages 
 and tobacco products",0.260132
"517",2037,"Covid","Manufacture of food, beverages 
 and tobacco products",0.225733
"518",2038,"Covid","Manufacture of food, beverages 
 and tobacco products",0.195053
"519",2039,"Covid","Manufacture of food, beverages 
 and tobacco products",0.16842
"520",2040,"Covid","Manufacture of food, beverages 
 and tobacco products",0.145671
"521",2015,"Covid","Coking and refining",0
"522",2016,"Covid","Coking and refining",0
"523",2017,"Covid","Coking and refining",0
"524",2018,"Covid","Coking and refining",0
"525",2019,"Covid","Coking and refining",0
"526",2020,"Covid","Coking and refining",-4.677248
"527",2021,"Covid","Coking and refining",-3.37516
"528",2022,"Covid","Coking and refining",-2.241293
"529",2023,"Covid","Coking and refining",-1.387875
"530",2024,"Covid","Coking and refining",-0.756596
"531",2025,"Covid","Coking and refining",-0.292899
"532",2026,"Covid","Coking and refining",0.040333
"533",2027,"Covid","Coking and refining",0.269593
"534",2028,"Covid","Coking and refining",0.415977
"535",2029,"Covid","Coking and refining",0.497558
"536",2030,"Covid","Coking and refining",0.530142
"537",2031,"Covid","Coking and refining",0.527378
"538",2032,"Covid","Coking and refining",0.500695
"539",2033,"Covid","Coking and refining",0.459296
"540",2034,"Covid","Coking and refining",0.410257
"541",2035,"Covid","Coking and refining",0.35874
"542",2036,"Covid","Coking and refining",0.308279
"543",2037,"Covid","Coking and refining",0.261091
"544",2038,"Covid","Coking and refining",0.218394
"545",2039,"Covid","Coking and refining",0.180682
"546",2040,"Covid","Coking and refining",0.147967
"547",2015,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"548",2016,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"549",2017,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"550",2018,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"551",2019,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0
"552",2020,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-3.61213
"553",2021,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-2.573596
"554",2022,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-1.543346
"555",2023,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.763907
"556",2024,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.214049
"557",2025,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.159625
"558",2026,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.403022
"559",2027,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.550839
"560",2028,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.628808
"561",2029,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.656209
"562",2030,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.647746
"563",2031,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.614792
"564",2032,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.566185
"565",2033,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.508735
"566",2034,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.44758
"567",2035,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.386462
"568",2036,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.327961
"569",2037,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.273724
"570",2038,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.224669
"571",2039,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.181173
"572",2040,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.143238
"573",2015,"Covid","Transport equipment manufacturing",0
"574",2016,"Covid","Transport equipment manufacturing",0
"575",2017,"Covid","Transport equipment manufacturing",0
"576",2018,"Covid","Transport equipment manufacturing",0
"577",2019,"Covid","Transport equipment manufacturing",0
"578",2020,"Covid","Transport equipment manufacturing",-6.36228
"579",2021,"Covid","Transport equipment manufacturing",-3.764087
"580",2022,"Covid","Transport equipment manufacturing",-2.054763
"581",2023,"Covid","Transport equipment manufacturing",-0.991669
"582",2024,"Covid","Transport equipment manufacturing",-0.332
"583",2025,"Covid","Transport equipment manufacturing",0.079033
"584",2026,"Covid","Transport equipment manufacturing",0.332853
"585",2027,"Covid","Transport equipment manufacturing",0.483534
"586",2028,"Covid","Transport equipment manufacturing",0.56417
"587",2029,"Covid","Transport equipment manufacturing",0.596138
"588",2030,"Covid","Transport equipment manufacturing",0.594112
"589",2031,"Covid","Transport equipment manufacturing",0.568737
"590",2032,"Covid","Transport equipment manufacturing",0.528017
"591",2033,"Covid","Transport equipment manufacturing",0.478058
"592",2034,"Covid","Transport equipment manufacturing",0.423483
"593",2035,"Covid","Transport equipment manufacturing",0.367706
"594",2036,"Covid","Transport equipment manufacturing",0.313145
"595",2037,"Covid","Transport equipment manufacturing",0.261413
"596",2038,"Covid","Transport equipment manufacturing",0.213489
"597",2039,"Covid","Transport equipment manufacturing",0.169879
"598",2040,"Covid","Transport equipment manufacturing",0.130749
"599",2015,"Covid","Manufacture of other industrial products",0
"600",2016,"Covid","Manufacture of other industrial products",0
"601",2017,"Covid","Manufacture of other industrial products",0
"602",2018,"Covid","Manufacture of other industrial products",0
"603",2019,"Covid","Manufacture of other industrial products",0
"604",2020,"Covid","Manufacture of other industrial products",-3.401396
"605",2021,"Covid","Manufacture of other industrial products",-2.378701
"606",2022,"Covid","Manufacture of other industrial products",-1.41972
"607",2023,"Covid","Manufacture of other industrial products",-0.70514
"608",2024,"Covid","Manufacture of other industrial products",-0.203555
"609",2025,"Covid","Manufacture of other industrial products",0.136888
"610",2026,"Covid","Manufacture of other industrial products",0.358547
"611",2027,"Covid","Manufacture of other industrial products",0.492881
"612",2028,"Covid","Manufacture of other industrial products",0.563145
"613",2029,"Covid","Manufacture of other industrial products",0.586884
"614",2030,"Covid","Manufacture of other industrial products",0.577654
"615",2031,"Covid","Manufacture of other industrial products",0.546084
"616",2032,"Covid","Manufacture of other industrial products",0.500511
"617",2033,"Covid","Manufacture of other industrial products",0.447371
"618",2034,"Covid","Manufacture of other industrial products",0.391483
"619",2035,"Covid","Manufacture of other industrial products",0.336285
"620",2036,"Covid","Manufacture of other industrial products",0.284076
"621",2037,"Covid","Manufacture of other industrial products",0.236239
"622",2038,"Covid","Manufacture of other industrial products",0.193464
"623",2039,"Covid","Manufacture of other industrial products",0.155939
"624",2040,"Covid","Manufacture of other industrial products",0.123522
"625",2015,"Covid","Construction",0
"626",2016,"Covid","Construction",0
"627",2017,"Covid","Construction",0
"628",2018,"Covid","Construction",0
"629",2019,"Covid","Construction",0
"630",2020,"Covid","Construction",-7.980097
"631",2021,"Covid","Construction",-6.373847
"632",2022,"Covid","Construction",-4.556125
"633",2023,"Covid","Construction",-3.061837
"634",2024,"Covid","Construction",-1.977271
"635",2025,"Covid","Construction",-1.243218
"636",2026,"Covid","Construction",-0.768791
"637",2027,"Covid","Construction",-0.472108
"638",2028,"Covid","Construction",-0.290946
"639",2029,"Covid","Construction",-0.181926
"640",2030,"Covid","Construction",-0.116277
"641",2031,"Covid","Construction",-0.075461
"642",2032,"Covid","Construction",-0.047706
"643",2033,"Covid","Construction",-0.025606
"644",2034,"Covid","Construction",-0.004574
"645",2035,"Covid","Construction",0.018123
"646",2036,"Covid","Construction",0.043954
"647",2037,"Covid","Construction",0.073513
"648",2038,"Covid","Construction",0.106788
"649",2039,"Covid","Construction",0.143357
"650",2040,"Covid","Construction",0.182548
"651",2015,"Covid","Trade ; repair of motor vehicles and motorcycles",0
"652",2016,"Covid","Trade ; repair of motor vehicles and motorcycles",0
"653",2017,"Covid","Trade ; repair of motor vehicles and motorcycles",0
"654",2018,"Covid","Trade ; repair of motor vehicles and motorcycles",0
"655",2019,"Covid","Trade ; repair of motor vehicles and motorcycles",0
"656",2020,"Covid","Trade ; repair of motor vehicles and motorcycles",-3.616527
"657",2021,"Covid","Trade ; repair of motor vehicles and motorcycles",-2.774735
"658",2022,"Covid","Trade ; repair of motor vehicles and motorcycles",-1.862224
"659",2023,"Covid","Trade ; repair of motor vehicles and motorcycles",-1.141515
"660",2024,"Covid","Trade ; repair of motor vehicles and motorcycles",-0.615417
"661",2025,"Covid","Trade ; repair of motor vehicles and motorcycles",-0.245508
"662",2026,"Covid","Trade ; repair of motor vehicles and motorcycles",0.005786
"663",2027,"Covid","Trade ; repair of motor vehicles and motorcycles",0.168641
"664",2028,"Covid","Trade ; repair of motor vehicles and motorcycles",0.266335
"665",2029,"Covid","Trade ; repair of motor vehicles and motorcycles",0.316838
"666",2030,"Covid","Trade ; repair of motor vehicles and motorcycles",0.334166
"667",2031,"Covid","Trade ; repair of motor vehicles and motorcycles",0.329302
"668",2032,"Covid","Trade ; repair of motor vehicles and motorcycles",0.310763
"669",2033,"Covid","Trade ; repair of motor vehicles and motorcycles",0.284978
"670",2034,"Covid","Trade ; repair of motor vehicles and motorcycles",0.256577
"671",2035,"Covid","Trade ; repair of motor vehicles and motorcycles",0.22868
"672",2036,"Covid","Trade ; repair of motor vehicles and motorcycles",0.203179
"673",2037,"Covid","Trade ; repair of motor vehicles and motorcycles",0.181025
"674",2038,"Covid","Trade ; repair of motor vehicles and motorcycles",0.162493
"675",2039,"Covid","Trade ; repair of motor vehicles and motorcycles",0.147416
"676",2040,"Covid","Trade ; repair of motor vehicles and motorcycles",0.135373
"677",2015,"Covid","Transport and storage",0
"678",2016,"Covid","Transport and storage",0
"679",2017,"Covid","Transport and storage",0
"680",2018,"Covid","Transport and storage",0
"681",2019,"Covid","Transport and storage",0
"682",2020,"Covid","Transport and storage",-4.127
"683",2021,"Covid","Transport and storage",-2.880751
"684",2022,"Covid","Transport and storage",-1.78666
"685",2023,"Covid","Transport and storage",-0.996062
"686",2024,"Covid","Transport and storage",-0.448343
"687",2025,"Covid","Transport and storage",-0.074873
"688",2026,"Covid","Transport and storage",0.174142
"689",2027,"Covid","Transport and storage",0.332641
"690",2028,"Covid","Transport and storage",0.42437
"691",2029,"Covid","Transport and storage",0.466919
"692",2030,"Covid","Transport and storage",0.47405
"693",2031,"Covid","Transport and storage",0.456847
"694",2032,"Covid","Transport and storage",0.424219
"695",2033,"Covid","Transport and storage",0.383142
"696",2034,"Covid","Transport and storage",0.338825
"697",2035,"Covid","Transport and storage",0.29492
"698",2036,"Covid","Transport and storage",0.253762
"699",2037,"Covid","Transport and storage",0.216644
"700",2038,"Covid","Transport and storage",0.184086
"701",2039,"Covid","Transport and storage",0.156084
"702",2040,"Covid","Transport and storage",0.132307
"703",2015,"Covid","Accommodation and catering",0
"704",2016,"Covid","Accommodation and catering",0
"705",2017,"Covid","Accommodation and catering",0
"706",2018,"Covid","Accommodation and catering",0
"707",2019,"Covid","Accommodation and catering",0
"708",2020,"Covid","Accommodation and catering",-7.844359
"709",2021,"Covid","Accommodation and catering",-4.940386
"710",2022,"Covid","Accommodation and catering",-3.082814
"711",2023,"Covid","Accommodation and catering",-1.89642
"712",2024,"Covid","Accommodation and catering",-1.11369
"713",2025,"Covid","Accommodation and catering",-0.580461
"714",2026,"Covid","Accommodation and catering",-0.213379
"715",2027,"Covid","Accommodation and catering",0.034075
"716",2028,"Covid","Accommodation and catering",0.191424
"717",2029,"Covid","Accommodation and catering",0.280776
"718",2030,"Covid","Accommodation and catering",0.320551
"719",2031,"Covid","Accommodation and catering",0.326424
"720",2032,"Covid","Accommodation and catering",0.311314
"721",2033,"Covid","Accommodation and catering",0.285255
"722",2034,"Covid","Accommodation and catering",0.25548
"723",2035,"Covid","Accommodation and catering",0.226722
"724",2036,"Covid","Accommodation and catering",0.201672
"725",2037,"Covid","Accommodation and catering",0.181477
"726",2038,"Covid","Accommodation and catering",0.166223
"727",2039,"Covid","Accommodation and catering",0.155345
"728",2040,"Covid","Accommodation and catering",0.147946
"729",2015,"Covid","Information and communication",0
"730",2016,"Covid","Information and communication",0
"731",2017,"Covid","Information and communication",0
"732",2018,"Covid","Information and communication",0
"733",2019,"Covid","Information and communication",0
"734",2020,"Covid","Information and communication",-2.196627
"735",2021,"Covid","Information and communication",-2.147555
"736",2022,"Covid","Information and communication",-1.71948
"737",2023,"Covid","Information and communication",-1.239558
"738",2024,"Covid","Information and communication",-0.805037
"739",2025,"Covid","Information and communication",-0.446589
"740",2026,"Covid","Information and communication",-0.16967
"741",2027,"Covid","Information and communication",0.031571
"742",2028,"Covid","Information and communication",0.167895
"743",2029,"Covid","Information and communication",0.251649
"744",2030,"Covid","Information and communication",0.295014
"745",2031,"Covid","Information and communication",0.309071
"746",2032,"Covid","Information and communication",0.303312
"747",2033,"Covid","Information and communication",0.285424
"748",2034,"Covid","Information and communication",0.261282
"749",2035,"Covid","Information and communication",0.235082
"750",2036,"Covid","Information and communication",0.209576
"751",2037,"Covid","Information and communication",0.186362
"752",2038,"Covid","Information and communication",0.166175
"753",2039,"Covid","Information and communication",0.149155
"754",2040,"Covid","Information and communication",0.135073
"755",2015,"Covid","Financial and insurance activities",0
"756",2016,"Covid","Financial and insurance activities",0
"757",2017,"Covid","Financial and insurance activities",0
"758",2018,"Covid","Financial and insurance activities",0
"759",2019,"Covid","Financial and insurance activities",0
"760",2020,"Covid","Financial and insurance activities",-2.278832
"761",2021,"Covid","Financial and insurance activities",-2.253328
"762",2022,"Covid","Financial and insurance activities",-1.77391
"763",2023,"Covid","Financial and insurance activities",-1.248545
"764",2024,"Covid","Financial and insurance activities",-0.787094
"765",2025,"Covid","Financial and insurance activities",-0.417218
"766",2026,"Covid","Financial and insurance activities",-0.13908
"767",2027,"Covid","Financial and insurance activities",0.057537
"768",2028,"Covid","Financial and insurance activities",0.186436
"769",2029,"Covid","Financial and insurance activities",0.261949
"770",2030,"Covid","Financial and insurance activities",0.297515
"771",2031,"Covid","Financial and insurance activities",0.304973
"772",2032,"Covid","Financial and insurance activities",0.294226
"773",2033,"Covid","Financial and insurance activities",0.273117
"774",2034,"Covid","Financial and insurance activities",0.247489
"775",2035,"Covid","Financial and insurance activities",0.221376
"776",2036,"Covid","Financial and insurance activities",0.197289
"777",2037,"Covid","Financial and insurance activities",0.176543
"778",2038,"Covid","Financial and insurance activities",0.159579
"779",2039,"Covid","Financial and insurance activities",0.14626
"780",2040,"Covid","Financial and insurance activities",0.136114
"781",2015,"Covid","Real estate activities",0
"782",2016,"Covid","Real estate activities",0
"783",2017,"Covid","Real estate activities",0
"784",2018,"Covid","Real estate activities",0
"785",2019,"Covid","Real estate activities",0
"786",2020,"Covid","Real estate activities",-1.641089
"787",2021,"Covid","Real estate activities",-1.860709
"788",2022,"Covid","Real estate activities",-1.690313
"789",2023,"Covid","Real estate activities",-1.355317
"790",2024,"Covid","Real estate activities",-0.985813
"791",2025,"Covid","Real estate activities",-0.650354
"792",2026,"Covid","Real estate activities",-0.376383
"793",2027,"Covid","Real estate activities",-0.16797
"794",2028,"Covid","Real estate activities",-0.018355
"795",2029,"Covid","Real estate activities",0.08288
"796",2030,"Covid","Real estate activities",0.146391
"797",2031,"Covid","Real estate activities",0.181737
"798",2032,"Covid","Real estate activities",0.19698
"799",2033,"Covid","Real estate activities",0.198655
"800",2034,"Covid","Real estate activities",0.191862
"801",2035,"Covid","Real estate activities",0.18041
"802",2036,"Covid","Real estate activities",0.166991
"803",2037,"Covid","Real estate activities",0.153377
"804",2038,"Covid","Real estate activities",0.140619
"805",2039,"Covid","Real estate activities",0.129239
"806",2040,"Covid","Real estate activities",0.1194
"807",2015,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"808",2016,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"809",2017,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"810",2018,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"811",2019,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0
"812",2020,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-3.286069
"813",2021,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-2.636331
"814",2022,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-1.783569
"815",2023,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-1.084835
"816",2024,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-0.571709
"817",2025,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",-0.213257
"818",2026,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.027158
"819",2027,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.180381
"820",2028,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.270357
"821",2029,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.315305
"822",2030,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.329103
"823",2031,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.32236
"824",2032,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.303141
"825",2033,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.277447
"826",2034,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.249572
"827",2035,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.222402
"828",2036,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.197684
"829",2037,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.176302
"830",2038,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.15851
"831",2039,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.14415
"832",2040,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.132822
"833",2015,"Covid","Public administration, education,
 human health and social work",0
"834",2016,"Covid","Public administration, education,
 human health and social work",0
"835",2017,"Covid","Public administration, education,
 human health and social work",0
"836",2018,"Covid","Public administration, education,
 human health and social work",0
"837",2019,"Covid","Public administration, education,
 human health and social work",0
"838",2020,"Covid","Public administration, education,
 human health and social work",-0.420206
"839",2021,"Covid","Public administration, education,
 human health and social work",-0.428699
"840",2022,"Covid","Public administration, education,
 human health and social work",-0.38231
"841",2023,"Covid","Public administration, education,
 human health and social work",-0.306966
"842",2024,"Covid","Public administration, education,
 human health and social work",-0.222196
"843",2025,"Covid","Public administration, education,
 human health and social work",-0.141857
"844",2026,"Covid","Public administration, education,
 human health and social work",-0.073842
"845",2027,"Covid","Public administration, education,
 human health and social work",-0.021222
"846",2028,"Covid","Public administration, education,
 human health and social work",0.016142
"847",2029,"Covid","Public administration, education,
 human health and social work",0.040188
"848",2030,"Covid","Public administration, education,
 human health and social work",0.053617
"849",2031,"Covid","Public administration, education,
 human health and social work",0.059228
"850",2032,"Covid","Public administration, education,
 human health and social work",0.059533
"851",2033,"Covid","Public administration, education,
 human health and social work",0.056582
"852",2034,"Covid","Public administration, education,
 human health and social work",0.051924
"853",2035,"Covid","Public administration, education,
 human health and social work",0.046642
"854",2036,"Covid","Public administration, education,
 human health and social work",0.041427
"855",2037,"Covid","Public administration, education,
 human health and social work",0.036671
"856",2038,"Covid","Public administration, education,
 human health and social work",0.032548
"857",2039,"Covid","Public administration, education,
 human health and social work",0.029089
"858",2040,"Covid","Public administration, education,
 human health and social work",0.026242
"859",2015,"Covid","Other service activities",0
"860",2016,"Covid","Other service activities",0
"861",2017,"Covid","Other service activities",0
"862",2018,"Covid","Other service activities",0
"863",2019,"Covid","Other service activities",0
"864",2020,"Covid","Other service activities",-3.162822
"865",2021,"Covid","Other service activities",-2.600429
"866",2022,"Covid","Other service activities",-1.83858
"867",2023,"Covid","Other service activities",-1.194789
"868",2024,"Covid","Other service activities",-0.702326
"869",2025,"Covid","Other service activities",-0.341491
"870",2026,"Covid","Other service activities",-0.086305
"871",2027,"Covid","Other service activities",0.086481
"872",2028,"Covid","Other service activities",0.196185
"873",2029,"Covid","Other service activities",0.258624
"874",2030,"Covid","Other service activities",0.286718
"875",2031,"Covid","Other service activities",0.29097
"876",2032,"Covid","Other service activities",0.279773
"877",2033,"Covid","Other service activities",0.259639
"878",2034,"Covid","Other service activities",0.235403
"879",2035,"Covid","Other service activities",0.210446
"880",2036,"Covid","Other service activities",0.18694
"881",2037,"Covid","Other service activities",0.166101
"882",2038,"Covid","Other service activities",0.148441
"883",2039,"Covid","Other service activities",0.133987
"884",2040,"Covid","Other service activities",0.12247
"885",2015,"Covid_LowOil","Agriculture, forestry and fishing",0
"886",2016,"Covid_LowOil","Agriculture, forestry and fishing",0
"887",2017,"Covid_LowOil","Agriculture, forestry and fishing",0
"888",2018,"Covid_LowOil","Agriculture, forestry and fishing",0
"889",2019,"Covid_LowOil","Agriculture, forestry and fishing",0
"890",2020,"Covid_LowOil","Agriculture, forestry and fishing",-1.154371
"891",2021,"Covid_LowOil","Agriculture, forestry and fishing",-1.812598
"892",2022,"Covid_LowOil","Agriculture, forestry and fishing",-2.037157
"893",2023,"Covid_LowOil","Agriculture, forestry and fishing",-2.023947
"894",2024,"Covid_LowOil","Agriculture, forestry and fishing",-1.882821
"895",2025,"Covid_LowOil","Agriculture, forestry and fishing",-1.687095
"896",2026,"Covid_LowOil","Agriculture, forestry and fishing",-1.484487
"897",2027,"Covid_LowOil","Agriculture, forestry and fishing",-1.302825
"898",2028,"Covid_LowOil","Agriculture, forestry and fishing",-1.155153
"899",2029,"Covid_LowOil","Agriculture, forestry and fishing",-1.044316
"900",2030,"Covid_LowOil","Agriculture, forestry and fishing",-0.966851
"901",2031,"Covid_LowOil","Agriculture, forestry and fishing",-0.916092
"902",2032,"Covid_LowOil","Agriculture, forestry and fishing",-0.884447
